iata,icao,type,name,city,iso_region,region_name,iso_country,country,lat,lon,importance
ELC,YELD,medium_airport,Elcho Island Airport,Elcho Island,AU-NT,Northern Territory,AU,Australia,-12.019399642899998,135.570999146,25
EMD,YEML,medium_airport,Emerald Airport,Emerald,AU-QLD,Queensland,AU,Australia,-23.5674991608,148.179000854,25
EPR,YESP,medium_airport,Esperance Airport,Esperance,AU-WA,Western Australia,AU,Australia,-33.684399,121.822998,25
WHB,YEWA,medium_airport,Eliwana,,AU-WA,Western Australia,AU,Australia,-22.428395,116.887879,20
FRB,YFBS,medium_airport,Forbes Airport,Forbes,AU-NSW,New South Wales,AU,Australia,-33.363602,147.934998,20
FLS,YFLI,small_airport,Flinders Island Airport,Whitemark,AU-TAS,Tasmania,AU,Australia,-40.091702,147.992996,15
FOS,YFRT,medium_airport,Forrest Airport,,AU-WA,Western Australia,AU,Australia,-30.83662,128.112811,20
FIZ,YFTZ,medium_airport,Fitzroy Crossing Airport,,AU-WA,Western Australia,AU,Australia,-18.183596,125.559783,25
GUH,YGDH,medium_airport,Gunnedah Airport,,AU-NSW,New South Wales,AU,Australia,-30.957511,150.248981,20
GET,YGEL,medium_airport,Geraldton Airport,Moonyoonooka,AU-WA,Western Australia,AU,Australia,-28.796101,114.707001,25
GFN,YGFN,medium_airport,Clarence Valley Regional Airport,Grafton,AU-NSW,New South Wales,AU,Australia,-29.754795,153.031234,20
GLT,YGLA,medium_airport,Gladstone Airport,Gladstone,AU-QLD,Queensland,AU,Australia,-23.869763,151.225439,25
GUL,YGLB,medium_airport,Goulburn Airport,,AU-NSW,New South Wales,AU,Australia,-34.810298919677734,149.7259979248047,20
GLI,YGLI,medium_airport,Glen Innes Airport,Glen Innes,AU-NSW,New South Wales,AU,Australia,-29.676029,151.691156,20
GPN,YGPT,medium_airport,Garden Point Airport,Pirlangimpi,AU-NT,Northern Territory,AU,Australia,-11.399686,130.425568,20
GTE,YGTE,medium_airport,Groote Eylandt Airport,Groote Eylandt,AU-NT,Northern Territory,AU,Australia,-13.972405,136.458553,25
GFF,YGTH,medium_airport,Griffith Airport,Griffith,AU-NSW,New South Wales,AU,Australia,-34.2508010864,146.067001343,25
HXX,YHAY,medium_airport,Hay Airport,,AU-NSW,New South Wales,AU,Australia,-34.531399,144.830002,20
HVB,YHBA,medium_airport,Hervey Bay Airport,Hervey Bay,AU-QLD,Queensland,AU,Australia,-25.320127,152.880662,25
HID,YHID,medium_airport,Horn Island Airport,Horn,AU-QLD,Queensland,AU,Australia,-10.585636,142.29277,25
HCQ,YHLC,medium_airport,Halls Creek Airport,,AU-WA,Western Australia,AU,Australia,-18.2339,127.669998,20
HLT,YHML,medium_airport,Hamilton Airport,,AU-VIC,Victoria,AU,Australia,-37.64889907836914,142.06500244140625,20
HOK,YHOO,small_airport,Hooker Creek Airport,Lajamanu,AU-NT,Northern Territory,AU,Australia,-18.3367004395,130.638000488,15
MHU,YHOT,medium_airport,Mount Hotham Airport,Mount Hotham,AU-VIC,Victoria,AU,Australia,-37.0475006104,147.333999634,25
HTU,YHPN,medium_airport,Hopetoun Airport,,AU-VIC,Victoria,AU,Australia,-35.715302,142.360001,20
HSM,YHSM,medium_airport,Horsham Airport,,AU-VIC,Victoria,AU,Australia,-36.669700622558594,142.17300415039062,20
